date,total_calls,avg_service_time,median_service_time,std_service_time,avg_vru_time,median_vru_time,avg_queue_time,median_queue_time,hangs,hang_rate,efficiency_score
1999-10-28,1227,188.05,103.0,282.87,11.03,10.0,17.65,0.0,72,5.87,94.13
1999-10-29,525,136.47,71.0,228.29,13.07,10.0,31.27,0.0,141,26.86,73.14
1999-10-30,210,140.08,71.5,216.39,13.21,11.0,8.49,0.0,35,16.67,83.33
1999-10-31,1693,157.28,93.0,262.71,9.22,9.0,64.55,22.0,297,17.54,82.46
1999-11-01,2024,157.37,96.0,238.94,9.65,8.0,55.51,18.0,330,16.3,83.7
1999-11-02,2225,148.75,81.0,258.92,9.36,6.0,74.81,33.0,509,22.88,77.12
1999-11-03,1718,160.61,96.0,230.75,11.34,9.0,47.82,10.0,245,14.26,85.74
1999-11-04,1509,165.23,107.0,211.57,10.21,9.0,27.42,0.0,113,7.49,92.51
1999-11-05,495,167.37,90.0,246.93,12.14,11.0,17.13,0.0,92,18.59,81.41
1999-11-06,222,125.9,79.0,165.1,13.62,11.0,5.84,0.0,43,19.37,80.63
1999-11-07,1398,172.87,105.0,232.85,9.63,9.0,36.28,0.0,126,9.01,90.99
1999-11-08,1561,161.34,100.0,227.04,9.28,9.0,38.6,0.0,173,11.08,88.92
1999-11-09,1893,151.27,87.0,229.51,9.94,7.0,53.51,15.0,337,17.8,82.2
1999-11-10,1896,148.29,86.0,224.31,9.95,6.0,57.07,25.0,362,19.09,80.91
1999-11-11,1875,160.43,91.0,253.27,8.73,6.0,64.79,33.0,407,21.71,78.29
1999-11-12,592,146.27,79.0,212.32,12.43,9.0,35.46,0.0,145,24.49,75.51
1999-11-13,272,148.39,76.5,213.2,12.63,11.0,12.7,0.0,54,19.85,80.15
1999-11-14,1827,165.0,91.0,252.84,9.31,6.0,55.65,20.0,297,16.26,83.74
1999-11-15,2018,178.82,96.0,346.99,8.62,6.0,74.39,40.0,380,18.83,81.17
1999-11-16,1879,153.39,86.0,238.8,9.73,6.0,67.8,22.0,351,18.68,81.32
1999-11-17,1748,167.19,95.5,285.56,9.95,6.0,62.55,25.5,270,15.45,84.55
1999-11-18,1753,140.27,78.0,210.88,11.26,9.0,21.94,0.0,293,16.71,83.29
1999-11-19,349,189.12,99.0,277.97,15.28,11.0,9.7,0.0,39,11.17,88.83
1999-11-20,306,124.6,41.0,262.05,36.76,12.0,16.17,0.0,106,34.64,65.36
1999-11-21,1568,176.51,95.0,298.76,13.58,9.0,49.29,6.0,215,13.71,86.29
1999-11-22,1818,161.74,91.0,260.22,11.24,6.0,65.18,26.0,312,17.16,82.84
1999-11-23,1748,158.67,85.0,287.3,10.3,6.0,81.44,38.0,367,21.0,79.0
1999-11-24,1665,141.98,68.0,238.31,9.8,6.0,132.85,58.0,520,31.23,68.77
1999-11-25,1398,172.81,103.0,263.82,9.03,6.0,52.29,18.0,209,14.95,85.05
